id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
0_0,0.15340653,0.3683625,0.2486013,0.70210415,0.38544136
0_1,0.09463559,0.57589453,0.5851902,0.997857,0.63192815
0_2,0.17357108,0.30568814,0.30729288,0.48645133,0.5815183
0_3,0.27277032,0.6593652,0.6951639,0.8548728,0.8692583
0_4,0.30933502,0.57125294,0.6770373,0.71246207,0.83401465
0_5,0.50020987,0.96910465,1.3282318,1.4093546,1.3014072
0_6,0.32774085,0.09498824,0.12625948,0.3219006,0.3335846
0_7,0.1976305,0.57840544,0.3609699,0.4796235,0.6674364
0_8,0.11976758,0.36716187,0.29050204,0.28711045,0.42436922
0_9,0.08927615,0.21093279,0.16070476,0.14378104,0.22174002
0_10,0.2021036,0.43289417,0.35195655,0.24492802,0.5342232
0_11,0.67603153,0.436652,0.3608122,0.21574134,0.36723882
0_12,1.5038822,0.5931516,0.46799237,0.42294633,0.7686541
0_13,1.2883384,1.2448672,0.9677385,0.7683428,0.7131438
0_14,1.1797538,1.698561,1.064215,0.7858951,1.1084857
0_15,1.3388319,1.8630667,1.4070741,1.0254555,0.8960043
0_16,0.7737,1.2280931,0.9796103,1.0072409,0.8099834
0_17,0.59140795,0.81734484,0.7203442,0.68220043,0.7136107
0_18,0.21667933,0.24010146,0.17765243,0.23780629,0.3077482
0_19,0.12571809,0.70699006,0.42374134,0.41478375,0.43744394
0_20,0.074903846,0.15138334,0.08992013,0.11140871,0.16514063
0_21,0.12947737,0.3378625,0.277251,0.23991552,0.36298275
0_22,0.13877988,0.35235012,0.3313853,0.3072266,0.38327435
0_23,0.2550888,0.32918543,0.3752093,0.2715915,0.3216921
0_24,0.6168253,1.3944781,1.1783078,1.1908181,0.9161935
0_25,0.36043817,0.3042342,0.25175375,0.32135832,0.32388568
0_26,0.52492887,0.90544474,0.57968575,0.64954966,0.77029353
0_27,0.2617764,0.63283825,0.69166976,0.47040364,0.45620054
0_28,0.13551526,0.20760259,0.28508332,0.28020042,0.3611229
0_29,0.54949343,0.7060076,0.79149777,0.64761484,0.6748888
0_30,0.43482387,0.37783444,0.3537019,0.5592644,0.47580385
0_31,0.09876835,0.29105598,0.1486187,0.2798512,0.21339038
0_32,0.07295509,0.17705184,0.09343922,0.16811079,0.17560086
0_33,0.045243993,0.13687873,0.064945936,0.11551967,0.107948475
0_34,0.14877202,0.15073575,0.08575462,0.10801929,0.17137334
0_35,1.6537852,0.7542702,0.68305856,0.47298348,0.7028038
0_36,1.3349413,0.762082,0.6578913,0.65749264,0.6567633
0_37,1.1948436,0.65454984,0.9367607,0.6982109,0.762669
0_38,0.6546538,0.3589912,0.52664745,0.48408228,0.7222092
0_39,0.21893677,0.32188237,0.38477188,0.44112897,0.43818772
0_40,0.062466443,0.21902317,0.13242236,0.16350347,0.14242281
0_41,0.07355589,0.24436717,0.09670052,0.1717209,0.16217831
0_42,0.037135944,0.12489037,0.07651788,0.067803025,0.09677322
0_43,0.043556616,0.12165673,0.10202792,0.10486685,0.15623546
0_44,0.48156303,1.0136635,0.8856547,0.648613,0.838292
0_45,0.93842083,0.4212746,0.44636947,0.37408575,0.62298036
0_46,0.853452,0.38673,0.5727577,0.54505575,0.76752925
0_47,0.4863182,0.5686409,0.7691181,0.65675014,0.62405735
0_48,0.23334737,0.5367381,0.6155838,0.60170305,0.6170506
0_49,0.11256482,0.24657342,0.27786794,0.33198488,0.3987761
0_50,0.11554052,0.3597843,0.35438916,0.6998191,0.5285127
0_51,0.17001528,0.27315533,0.39968106,1.1126534,0.54150504
0_52,0.8250262,1.2289618,1.1966925,1.7984116,1.3416805
