id_seqpos,reactivity,deg_Mg_pH10,deg_Mg_50C,deg_pH10,deg_50C
10421216_0,0.77445686,0.9329903,0.7989864,1.6560309,0.87360144
10421216_1,0.5970812,0.9888568,0.8619629,1.5780877,0.9288131
10421216_2,0.19862528,0.3388264,0.2211405,0.43342087,0.3282311
10421216_3,0.09334113,0.22255784,0.17142913,0.35759002,0.23253065
10421216_4,0.037057616,0.14058745,0.10303593,0.23315775,0.1160548
10421216_5,0.017942261,0.1515131,0.09607832,0.2263249,0.12764376
10421216_6,0.05104889,0.31920978,0.14391707,0.32256114,0.16409205
10421216_7,0.060712717,0.16929892,0.110907435,0.20851104,0.12398303
10421216_8,0.10448401,0.45633793,0.28141195,0.3990161,0.24900523
10421216_9,0.47634876,0.37539,0.25398853,0.3689763,0.34254837
10421216_10,0.621935,0.44864964,0.3958828,0.42614734,0.3655272
10421216_11,0.38287687,0.2712368,0.27709696,0.3971679,0.39680424
10421216_12,0.22107776,0.21651316,0.27462953,0.38661477,0.3132866
10421216_13,0.16652668,0.20154127,0.2982114,0.38975272,0.31828916
10421216_14,0.3600153,0.31184286,0.41650847,0.43455696,0.37961844
10421216_15,0.7240206,0.60981405,0.51661,0.6852349,0.70544344
10421216_16,0.46670935,0.69962204,0.7955198,0.59831876,0.45631266
10421216_17,0.25821617,0.53862786,0.5353882,0.5352823,0.4862922
10421216_18,0.32294416,0.5861951,0.5170572,0.51599,0.5248791
10421216_19,0.23660097,0.31546387,0.3341048,0.26422107,0.29008517
10421216_20,0.19765013,0.4956812,0.4574991,0.4622848,0.45687914
10421216_21,0.34540355,0.73529255,0.5293573,0.56943876,0.46161667
10421216_22,0.55883944,0.3188019,0.2941333,0.5189103,0.4970016
10421216_23,0.40981084,0.35748503,0.2930892,0.35344046,0.30120945
10421216_24,0.24724752,0.2394895,0.22460002,0.34132856,0.3181327
10421216_25,0.07921842,0.16140802,0.17437726,0.21028845,0.1666713
10421216_26,0.22372392,0.21881929,0.21897867,0.30141085,0.3103366
10421216_27,0.9242668,0.43964395,0.3826018,0.38312066,0.4973564
10421216_28,0.39404708,0.57356644,0.5607246,0.35674077,0.33548152
10421216_29,0.55620563,0.85207045,0.78615516,0.60464513,0.5151348
10421216_30,0.7812246,0.7072375,0.56869715,0.59629583,0.5471008
10421216_31,0.63262707,1.0968672,0.98083794,0.7986747,0.6086112
10421216_32,0.22434406,0.35567278,0.2391296,0.41117984,0.31158188
10421216_33,0.062108733,0.18060514,0.07548249,0.16460598,0.08048497
10421216_34,0.020076375,0.113885716,0.05239948,0.121837676,0.048571587
10421216_35,0.0067113945,0.06826657,0.03344828,0.08306344,0.033204004
10421216_36,0.03005566,0.1496084,0.069641925,0.15295349,0.11292735
10421216_37,0.10821672,0.29070544,0.18069994,0.27032965,0.21138227
10421216_38,0.23870158,0.96591294,0.8377005,0.75389224,0.4943804
10421216_39,0.66210043,0.47346848,0.38561597,0.422806,0.4202255
10421216_40,0.80505884,1.1519315,0.9229449,1.0375838,0.7078474
10421216_41,0.039972436,0.17461759,0.08060953,0.18877882,0.15533921
10421216_42,0.014417203,0.1125328,0.035372376,0.09455961,0.03694651
10421216_43,0.009653058,0.1190618,0.032605555,0.089453086,0.037621427
10421216_44,0.019069413,0.14671223,0.04109882,0.10489989,0.052541994
10421216_45,0.014850523,0.150071,0.04405628,0.1204874,0.09738113
10421216_46,0.017655766,0.17237854,0.085002735,0.10821414,0.057404287
10421216_47,0.008388112,0.15355653,0.07350482,0.10474784,0.08259394
10421216_48,0.01622711,0.24835326,0.116175026,0.15827727,0.12686667
10421216_49,0.0038441643,0.14570121,0.090439856,0.0947426,0.07285042
10421216_50,0.050508395,0.18047811,0.09662693,0.1340312,0.1404755
10421216_51,0.029532325,0.28787166,0.10723378,0.18660131,0.09603402
10421216_52,0.00944314,0.1211396,0.042654105,0.10129793,0.062879495
10421216_53,0.0086300345,0.14547943,0.04450889,0.112445876,0.05500216
10421216_54,0.010933124,0.10062839,0.035240564,0.088613376,0.05009743
10421216_55,0.10012682,0.27227777,0.21638745,0.3009476,0.24274218
10421216_56,0.20044482,0.18673673,0.15023196,0.17685229,0.2185508
